업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적(건물내_외부),업태명,담당부서
휴게음식점,2020-10-26,씨유 사당삼성점,"서울특별시 동작구 사당로17길 85, 1층 (사당동)",서울특별시 동작구 사당동 263-15 ,3.3,편의점,보건행정과
휴게음식점,2020-10-26,지에스(GS)25 동작유한점,"서울특별시 동작구 등용로14길 44, 1층 (대방동)",서울특별시 동작구 대방동 43-2 ,3.3,편의점,보건행정과
휴게음식점,2020-11-05,치킨 키친(CHICKEN KITCHEN),"서울특별시 동작구 양녕로 186, 1층 101호 (상도동)",서울특별시 동작구 상도동 210-299 ,19.8,일반조리판매,보건행정과
휴게음식점,2020-11-13,동작역 호두붐,"서울특별시 동작구 현충로 257, 4호선 동작역 Dongjak s.t 431-004호 (동작동)",서울특별시 동작구 동작동 327-1 4호선 동작역 Dongjak s.t ,10.75,일반조리판매,보건행정과
휴게음식점,2020-11-18,쓰리팝(3POP PC CAFE),"서울특별시 동작구 동작대로3길 6, 해암빌딩 4층 (사당동)",서울특별시 동작구 사당동 1031-26 해암빌딩 ,16.5,일반조리판매,보건행정과
휴게음식점,2020-11-20,씨유 상도엠코점,"서울특별시 동작구 상도로 346-1, 제상가1동 1층 111호 (상도동, 힐스테이트 상도 센트럴파크)",서울특별시 동작구 상도동 531 힐스테이트 상도 센트럴파크 ,9.9,편의점,보건행정과
휴게음식점,2020-11-23,씨유(CU)신대방센터점,"서울특별시 동작구 여의대방로 68, 1층 (신대방동)",서울특별시 동작구 신대방동 492-206 ,3.3,편의점,보건행정과
휴게음식점,2020-11-26,세븐일레븐 대방중앙점,"서울특별시 동작구 대방동길 38, 1층 (대방동)",서울특별시 동작구 대방동 392-21 ,3.3,편의점,보건행정과
휴게음식점,2020-12-15,샌드위치킹,"서울특별시 동작구 여의대방로46길 32, 1층 (대방동)",서울특별시 동작구 대방동 344-27 ,23.1,일반조리판매,보건행정과
휴게음식점,2020-12-16,프레시랩,"서울특별시 동작구 국사봉2길 19, 102호 (신대방동)",서울특별시 동작구 신대방동 339-15 ,32,일반조리판매,보건행정과
휴게음식점,2021-01-12,씨유 신대방해피점,"서울특별시 동작구 신대방1나길 26, 1층 (신대방동)",서울특별시 동작구 신대방동 695-1 ,5,편의점,보건행정과
휴게음식점,2021-01-13,씨유 노량진스타합격점,"서울특별시 동작구 장승배기로 135, 1층 (노량진동)",서울특별시 동작구 노량진동 231-115 ,10,편의점,보건행정과
